module,name,kind,internal_count,src_count,dev_count,test_count,comment
glimra/textmate/grammar,resolve_end_pattern,fn,0,2,0,0,
glimra/textmate/grammar,resolve_while_pattern,fn,0,2,0,0,
glimra/textmate/rule,RuleId,type,22,39,0,0,
glimra/textmate/rule,rule_id_none,const,0,22,0,0,
glimra/textmate/rule,rule_id_first,const,0,2,0,0,
glimra/textmate/rule,CaptureIndex,type,1,33,0,0,
glimra/textmate/rule,CaptureRule,type,19,12,0,0,
glimra/textmate/rule,capture_rule,fn,0,6,0,0,
glimra/textmate/rule,Rule,type,17,28,0,0,
glimra/textmate/rule,get_id,fn,0,5,0,0,
glimra/textmate/rule,update_id,fn,0,1,0,0,
glimra/textmate/rule,get_name,fn,0,1,0,0,
glimra/textmate/rule,get_content_name,fn,0,1,0,0,
glimra/textmate/rule,get_match_captures,fn,0,3,0,0,
glimra/textmate/rule,get_begin_captures,fn,0,4,0,0,
glimra/textmate/rule,get_end_captures,fn,0,3,0,0,
glimra/textmate/rule,get_while_captures,fn,0,1,0,0,
glimra/textmate/rule,is_begin_end_rule,fn,0,3,0,2,
glimra/textmate/rule,is_begin_while_rule,fn,0,3,0,0,
glimra/textmate/rule,is_match_rule,fn,0,3,0,2,
glimra/textmate/rule,is_include_only_rule,fn,0,1,0,3,
glimra/textmate/rule,match_rule,fn,0,4,0,3,
glimra/textmate/rule,include_only_rule,fn,0,5,0,0,
glimra/textmate/rule,begin_end_rule,fn,0,4,0,3,
glimra/textmate/rule,begin_while_rule,fn,0,4,0,0,
glimra/textmate/theme,font_style_not_set,const,5,2,0,0,
glimra/textmate/theme,font_style_none,const,0,3,0,0,
glimra/textmate/theme,font_style_italic,const,0,1,0,0,
glimra/textmate/theme,font_style_bold,const,0,1,0,0,
glimra/textmate/theme,font_style_underline,const,0,1,0,0,
glimra/textmate/theme,font_style_strikethrough,const,0,1,0,0,
glimra/textmate/theme,StyleAttributes,type,4,5,0,0,
glimra/textmate/theme,Theme,type,5,40,0,3,
glimra/textmate/theme,ParsedThemeRule,type,1,15,0,0,
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/textmate/theme,ThemeTrieElementRule,type,21,0,0,0,internal_only
glimra/textmate/theme,ThemeTrieElement,type,16,4,0,0,
glimra/textmate/theme,match_scope,fn,2,1,0,0,
glimra/textmate/theme,new_trie_element,fn,0,1,0,0,
glimra/textmate/theme,trie_insert,fn,1,1,0,0,
glimra/textmate/grammar_loader,parse_grammar_json,fn,0,1,0,0,
glimra/textmate/textmate,TokenWithScopes,type,9,2,0,0,
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/textmate/textmate,TokenizeLineResult,type,3,0,0,0,internal_only
glimra/textmate/textmate,initial,fn,4,7,0,0,
glimra/textmate/textmate,compile_grammar,fn,2,2,0,0,
glimra/textmate/textmate,tokenize_line,fn,3,2,0,0,
glimra/textmate/textmate,tokenize_lines,fn,0,3,0,0,
glimra/textmate/grammar_compiler,compile_grammar,fn,0,4,0,0,
glimra/textmate/regexp_source,AnchorFlags,type,8,0,0,0,pub_signature
glimra/textmate/regexp_source,has_any_anchor,fn,0,6,0,0,
glimra/textmate/regexp_source,detect_anchors,fn,0,6,0,0,
glimra/textmate/regexp_source,has_back_references,fn,0,3,0,0,
glimra/textmate/regexp_source,resolve_back_references,fn,0,3,0,0,
glimra/textmate/regexp_source,resolve_anchors,fn,0,7,0,0,
glimra/textmate/regexp_source,resolve_capture_refs,fn,0,5,0,0,
glimra/textmate/line_tokens,Token,type,9,30,1,6,
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/textmate/line_tokens,BinaryToken,type,4,0,0,0,internal_only
glimra/textmate/line_tokens,LineTokens,type,23,16,0,0,
glimra/textmate/line_tokens,new,fn,2,93,0,11,
glimra/textmate/line_tokens,produce,fn,3,20,0,0,
glimra/textmate/line_tokens,produce_from_scopes,fn,3,3,0,0,
glimra/textmate/line_tokens,get_result,fn,0,1,0,0,
glimra/textmate/line_tokens,LocalStackElement,type,8,5,0,0,
glimra/textmate/line_tokens,pop_local_stack,fn,0,2,0,0,
glimra/textmate/line_tokens,get_current_scopes,fn,0,4,0,0,
